# Hubbard model DMRG. L=12, N=12, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Check the code.
# J, μ, E, n_variance, <a_i> [calculated 2025-02-11T17:29:05.045 @site  i=6]
0.14736842105263157, 0.4789473684210526, -6.669890522494657, 0.20669008288313617, 0.35861875711844243 # MI
0.14736842105263157, 0.5263157894736842, -7.276755885230635, 0.24606083585414273, -0.14137892047755357 # MI
0.14736842105263157, 0.5736842105263158, -7.918087324742956, 0.2743743530321483, -0.15876593536747158 # MI
0.14736842105263157, 0.6210526315789474, -8.584423814242225, 0.27629913393301986, -0.07713235434489787 # MI
0.14736842105263157, 0.6684210526315789, -9.296088961155471, 0.3204943713542825, -0.3899293281038886 # MI
0.14736842105263157, 0.7157894736842105, -10.041479125855654, 0.3366276255282845, 0.1298620703600472 # MI
0.14736842105263157, 0.7631578947368421, -10.799984331103486, 0.34087568739184015, 0.24172315695460597 # MI
0.14736842105263157, 0.8105263157894737, -11.615691929817753, 0.35626926806580617, -0.000100241319408963 # SF
0.14736842105263157, 0.8578947368421053, -12.457060870570778, 0.3697894849434227, -7.11868810129814e-9 # SF
0.14736842105263157, 0.9052631578947369, -13.323877126759353, 0.37887776117600813, 0.00024825128154120236 # SF
0.14736842105263157, 0.9526315789473684, -14.223870922765586, 0.3788849083967336, 0.02731530204643895 # SF
0.14736842105263157, 1.0, -15.162781163216616, 0.38226105581479874, 3.8054983649130433e-6 # SF
0.16578947368421051, 0.1, -2.4660634838297693, 0.26200470820782706, 4.5080856236604444e-6 # SF
0.16578947368421051, 0.14736842105263157, -2.9464559069697547, 0.2575857515185055, -0.1063562578748401 # MI
0.16578947368421051, 0.19473684210526315, -3.4966182391169007, 0.20181929208197014, 0.20362934762315768 # MI
0.16578947368421051, 0.24210526315789474, -4.064517407685297, 0.1973207581344404, 0.1216622948826141 # MI
0.16578947368421051, 0.2894736842105263, -4.635203818114834, 0.19513685975921935, 0.0004248841468821102 # MI
0.16578947368421051, 0.3368421052631579, -5.203623101825703, 0.19513717652871998, 0.0027306008626395224 # MI
0.16578947368421051, 0.38421052631578945, -5.771829632597251, 0.19556985447261077, 0.04603664391750374 # MI
0.16578947368421051, 0.43157894736842106, -6.33855373359569, 0.22833132884804885, -0.3626262882009793 # MI
0.16578947368421051, 0.4789473684210526, -6.944135796626037, 0.2831614809303693, 0.378411015224786 # MI
0.16578947368421051, 0.5263157894736842, -7.584458253640623, 0.2998926455608135, 0.12216711839919753 # MI
0.16578947368421051, 0.5736842105263158, -8.248218018284652, 0.31841220162024375, -0.46198852743870117 # MI
0.16578947368421051, 0.6210526315789474, -8.947788558630158, 0.34283156642979407, -0.40111975332515026 # MI
0.16578947368421051, 0.6684210526315789, -9.679731988532037, 0.35203801586891537, -0.3588224794718886 # MI
0.16578947368421051, 0.7157894736842105, -10.443474573243817, 0.3572116701600161, 0.016417201493310888 # MI
0.16578947368421051, 0.7631578947368421, -11.243190078416905, 0.3760376049901235, -4.1281646427097293e-7 # SF
0.16578947368421051, 0.8105263157894737, -12.066091616086876, 0.3901719040576115, 2.8875134489180897e-5 # SF
0.16578947368421051, 0.8578947368421053, -12.918282569524276, 0.3911865342210925, 0.24652719793984632 # SF
0.16578947368421051, 0.9052631578947369, -13.811945778671104, 0.4005518813510056, -3.388649327490234e-7 # SF
0.16578947368421051, 0.9526315789473684, -14.72753416055486, 0.40625242735752476, 0.00013468439887820067 # SF
0.16578947368421051, 1.0, -15.674902559999651, 0.40625244554778517, -0.001519697420866655 # SF
0.18421052631578946, 0.1, -2.7120686259954105, 0.2817009730802218, -0.00012007789589976216 # SF
0.18421052631578946, 0.14736842105263157, -3.203368033597137, 0.27615086992687043, 0.37225552859731537 # MI
0.18421052631578946, 0.19473684210526315, -3.7426979553786675, 0.2619693104993459, -0.33780524729163075 # MI
0.18421052631578946, 0.24210526315789474, -4.3150302116669135, 0.23800535987376403, 0.1667443614409645 # MI
0.18421052631578946, 0.2894736842105263, -4.892028247921661, 0.23124407610622555, 8.386309453638823e-5 # MI
0.18421052631578946, 0.3368421052631579, -5.458384424525615, 0.23405199768984453, 0.1567733528119301 # MI
0.18421052631578946, 0.38421052631578945, -6.028595809574876, 0.23329869411827997, 0.11602597518811424 # MI
0.18421052631578946, 0.43157894736842106, -6.636651543432183, 0.3038351657884053, 0.1853774580948793 # MI
0.18421052631578946, 0.4789473684210526, -7.2572575333639024, 0.3115897610633418, 0.3383419035540987 # MI
0.18421052631578946, 0.5263157894736842, -7.925364144479637, 0.3313018704914701, 0.258580174161013 # MI
0.18421052631578946, 0.5736842105263158, -8.623688749920051, 0.3562992393014943, -0.20631365211283653 # MI
0.18421052631578946, 0.6210526315789474, -9.33946244131337, 0.3724386578646923, -0.41806735898936914 # MI
0.18421052631578946, 0.6684210526315789, -10.097990382777986, 0.3776884478571463, -0.202796357109342 # MI
0.18421052631578946, 0.7157894736842105, -10.88206906895983, 0.3955550487118189, 0.03717089875643748 # MI
0.18421052631578946, 0.7631578947368421, -11.687332067999998, 0.40617619525410564, -0.4901159602003441 # SF
0.18421052631578946, 0.8105263157894737, -12.539774328273822, 0.41021160485289254, 2.643509401615036e-6 # SF
0.18421052631578946, 0.8578947368421053, -13.412903422935953, 0.4216283781495087, 1.738938539840833e-6 # SF
0.18421052631578946, 0.9052631578947369, -14.312900253109607, 0.4216349891550726, -0.023224869736168243 # SF
0.18421052631578946, 0.9526315789473684, -15.2539262890968, 0.4291625870672866, -2.0911498759232534e-8 # SF
0.18421052631578946, 1.0, -16.214633313449745, 0.4357333452579777, 3.565179413839417e-5 # SF
0.2026315789473684, 0.1, -2.9689319624448127, 0.3005649959335851, 0.006511832291859337 # SF
0.2026315789473684, 0.14736842105263157, -3.464789405903011, 0.29297665697644293, -0.08001278124056396 # MI
0.2026315789473684, 0.19473684210526315, -4.021992112353413, 0.27928803745608466, 0.3659539882302441 # MI
0.2026315789473684, 0.24210526315789474, -4.587149084236405, 0.2727073438290697, -0.2920565653702898 # MI
0.2026315789473684, 0.2894736842105263, -5.166004889585789, 0.2683419441876347, 0.16474799810325466 # MI
0.2026315789473684, 0.3368421052631579, -5.733088643035232, 0.2869479199896938, 0.3893740540372525 # MI
0.2026315789473684, 0.38421052631578945, -6.3392331781349105, 0.3265023884392031, 0.080758493187622 # MI
0.2026315789473684, 0.43157894736842106, -6.958219939978386, 0.3384937139455262, 0.43417490623499155 # MI
0.2026315789473684, 0.4789473684210526, -7.621584474017701, 0.34861381536819347, -0.08962695186620576 # MI
0.2026315789473684, 0.5263157894736842, -8.29921819205539, 0.36948052811402166, 0.3757427325449448 # MI
0.2026315789473684, 0.5736842105263158, -9.013326197116864, 0.38313322974382613, 0.4441223132701406 # MI
0.2026315789473684, 0.6210526315789474, -9.761761323160105, 0.3961211625049008, 0.34117309656735395 # MI
0.2026315789473684, 0.6684210526315789, -10.528356081434303, 0.4095206445378663, 0.481886293712374 # MI
0.2026315789473684, 0.7157894736842105, -11.337269471518713, 0.41476638588557213, 2.2838132034484177e-5 # SF
0.2026315789473684, 0.7631578947368421, -12.171494007039358, 0.4297474822309204, 8.598609555429504e-7 # SF
0.2026315789473684, 0.8105263157894737, -13.024566734140723, 0.4366012718565919, 0.5220083943122122 # SF
0.2026315789473684, 0.8578947368421053, -13.925156033991087, 0.4419889351184465, -2.249505538936597e-5 # SF
0.2026315789473684, 0.9052631578947369, -14.845243759728021, 0.4509565842705565, -4.4357146384465234e-5 # SF
0.2026315789473684, 0.9526315789473684, -15.792525193570565, 0.45107941404282226, -0.10352135964247186 # SF
0.2026315789473684, 1.0, -16.77837290635801, 0.45891010867045656, -1.3015110870748428e-7 # SF
0.22105263157894736, 0.1, -3.243980754234102, 0.3201006882133214, -0.006856481384560014 # SF
0.22105263157894736, 0.14736842105263157, -3.7572809937972274, 0.30281358254458457, -0.26322951232865344 # MI
0.22105263157894736, 0.19473684210526315, -4.306239425028842, 0.31057283286222326, 0.419496104975572 # MI
